# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
ka dai 	卡带	c=1 d=1 t=16223
ka fei 	咖啡	c=5 d=1 t=26449
ka lu li 	卡路里	c=1 d=1 t=21334
kai 	凯	c=2 d=1 t=21736
kai 	开	c=40 d=1.06501 t=28311
kai chang 	开敞	c=1 d=1 t=23605
kai che 	开车	c=4 d=1.01916 t=26869
kai dong 	开洞	c=1 d=1 t=19029
kai fa 	开发	c=3 d=2.79311 t=8462
kai gong 	开工	c=1 d=1 t=6386
kai hua 	开花	c=1 d=1 t=1505
kai hui 	开会	c=41 d=2.72684 t=28053
kai ji 	开机	c=3 d=1 t=12046
kai li 	开利	c=2 d=1.98511 t=19137
kai li 	开立	c=3 d=1.16613 t=19133
kai men 	开门	c=2 d=1.00389 t=16986
kai piao 	开票	c=1 d=1 t=16269
kai qi 	开启	c=3 d=1.06822 t=25350
kai shi 	开始	c=30 d=4.11194 t=28372
kai shi 	开式	c=1 d=1 t=7191
kai ti 	楷体	c=1 d=1 t=6599
kai tou 	开头	c=2 d=1 t=17483
kai wan 	开完	c=6 d=1 t=27999
kai yao 	开药	c=2 d=1 t=14284
kai ye 	开业	c=2 d=1 t=25050
kai yuan 	开源	c=2 d=1.99501 t=6605
kai zai 	开在	c=1 d=1 t=15647
kai zhan 	开展	c=3 d=1 t=26030
kai zhang 	开仗	c=1 d=1 t=1456
kai zhang 	开张	c=1 d=1 t=25186
kan 	看	c=103 d=1.44565 t=27913
kan dao 	看到	c=2 d=1.00003 t=18189
kan de 	看得	c=1 d=1 t=24783
kan dong 	看懂	c=2 d=1 t=23949
kan guo 	看过	c=2 d=1 t=21823
kan jia 	砍价	c=1 d=1 t=120
kan jian 	看见	c=16 d=2.65067 t=28328
kan kan 	看看	c=38 d=1.01285 t=28342
kan lai 	看来	c=6 d=1 t=22129
kan tu 	看图	c=1 d=1 t=20664
kan wu 	勘误	c=1 d=1 t=22421
kan ya 	看牙	c=1 d=1 t=15405
kan zhe 	看着	c=9 d=1 t=26848
kang 	抗	c=2 d=1 t=28242
kang bu zhu 	扛不住	c=1 d=1 t=14254
kang ya 	抗压	c=1 d=1 t=19915
kang zhen 	抗震	c=2 d=1 t=26098
kao 	靠	c=5 d=1 t=27703
kao cha 	考查	c=15 d=1 t=27322
kao lv 	考虑	c=16 d=1.00714 t=27437
kao pu 	靠谱	c=1 d=1 t=19530
kao shi 	考试	c=1 d=1 t=12052
ke 	克	c=1 d=1 t=21769
ke 	刻	c=1 d=1 t=3381
ke 	可	c=17 d=1.09339 t=26646
ke 	柯	c=2 d=1.93239 t=5077
ke 	科	c=0 d=0.1 t=26246
ke 	课	c=7 d=1.88723 t=26843
ke bu xing 	可不行	c=1 d=1 t=22746
ke cheng 	课程	c=1 d=1 t=24862
ke dou 	蝌蚪	c=1 d=1 t=27140
ke fang 	客房	c=5 d=1.02497 t=21468
ke fou 	可否	c=1 d=1 t=21154
ke guan 	客观	c=1 d=1 t=14222
ke hu 	客户	c=2 d=1 t=20215
ke hui nan lu 	科荟南路	c=1 d=1 t=26247
ke ji 	科技	c=2 d=1 t=10767
ke jin 	氪金	c=1 d=1 t=17474
ke kao 	可靠	c=1 d=1 t=15769
ke lian 	可怜	c=1 d=1 t=16119
ke neng 	可能	c=10 d=1.65518 t=26324
ke neng a 	可能啊	c=1 d=1 t=22300
ke neng xing 	可能性	c=1 d=1 t=26465
ke pa 	可怕	c=2 d=1.9802 t=2271
ke qi 	客气	c=1 d=1 t=7511
ke ren 	客人	c=1 d=1 t=20830
ke shi fei 	课时费	c=1 d=1 t=12857
ke sou 	咳嗽	c=4 d=1.00005 t=26181
ke tiao 	可调	c=3 d=1 t=19504
ke xi 	可惜	c=1 d=1 t=12501
ke xing 	可行	c=4 d=1 t=27172
ke yan 	科研	c=1 d=1 t=25399
ke yi 	可以	c=88 d=1.87496 t=28317
ke you 	可有	c=1 d=1 t=17007
ken de ji 	肯德基	c=1 d=1 t=23565
ken ding 	肯定	c=19 d=1.0234 t=28209
keng 	坑	c=6 d=1.91393 t=28257
kong 	孔	c=1 d=1 t=4945
kong 	控	c=2 d=1.94649 t=21774
kong 	空	c=2 d=1 t=27070
kong bu 	恐怖	c=1 d=1 t=15170
kong dong 	空洞	c=4 d=1 t=11674
kong ge 	空格	c=1 d=1 t=21986
kong jian 	空间	c=16 d=1.11884 t=18775
kong qi 	空气	c=14 d=1.98235 t=25235
kong tiao 	空调	c=100 d=1.0865 t=27939
kong tiao ji zu 	空调机组	c=1 d=1 t=25823
kong ya ji 	空压机	c=1 d=1 t=15652
kong yan 	空研	c=2 d=1.98511 t=7172
kong zhi 	控制	c=14 d=1 t=24478
kong zhi qi 	控制器	c=4 d=1 t=20828
kong zhi zhu 	控制住	c=1 d=1 t=24038
kou 	口	c=32 d=1 t=27590
kou qian 	扣钱	c=1 d=1 t=27471
kou qiang 	口腔	c=3 d=2.94099 t=17047
kou she 	口舌	c=1 d=1 t=13898
kou tou 	口头	c=1 d=1 t=19226
ku 	哭	c=2 d=1.99501 t=27256
ku 	库	c=7 d=1 t=17566
ku fang 	库房	c=6 d=1.89603 t=25354
ku nao 	哭闹	c=1 d=1 t=1831
ku zi 	裤子	c=2 d=1.00004 t=14450
kuai 	块	c=3 d=1 t=25897
kuai 	快	c=10 d=1 t=26184
kuai di 	快递	c=10 d=1 t=26926
kuai qian 	块钱	c=1 d=1 t=21838
kuai su 	快速	c=3 d=2.58528 t=28030
kuan 	宽	c=5 d=1.98511 t=18816
kuan yu 	宽裕	c=1 d=1 t=13280
kuang 	框	c=1 d=1 t=5408
kuang ren 	狂人	c=1 d=1 t=27862
kui 	亏	c=2 d=1.00132 t=13369
kui yang xing 	溃疡性	c=1 d=1 t=24018
kun 	昆	c=1 d=1 t=9390
kun 	琨	c=5 d=1 t=22009
kuo da 	扩大	c=2 d=1 t=19172
kuo san 	扩散	c=1 d=1 t=16295
la 	啦	c=22 d=1 t=27922
la 	拉	c=5 d=1 t=26482
la hu 	辣糊	c=1 d=1 t=23982
la ji 	垃圾	c=6 d=1 t=23128
la ji fang 	垃圾房	c=1 d=1 t=4990
la la 	啦啦	c=1 d=1 t=25636
la sa 	拉撒	c=1 d=1 t=15172
la xian 	拉线	c=1 d=1 t=1307
lai 	来	c=51 d=1.04707 t=27092
lai de ji 	来得及	c=3 d=1 t=27302
lai shuo 	来说	c=3 d=1 t=16489
lai zhe 	来着	c=6 d=1.27253 t=25231
lan 	懒	c=1 d=1 t=13572
lan 	烂	c=2 d=1 t=24790
lan 	蓝	c=1 d=1 t=13458
lan de 	懒得	c=1 d=1 t=26585
lan mao 	蓝猫	c=1 d=1 t=13562
lan qiu 	篮球	c=4 d=1 t=25071
lan se 	蓝色	c=1 d=1 t=26088
lan tu 	蓝图	c=3 d=1 t=19669
lan yong 	滥用	c=1 d=1 t=15119
lang 	郎	c=5 d=1 t=22565
lao 	老	c=17 d=1.88291 t=25145
lao hua 	老化	c=1 d=1 t=14925
lao jia 	老家	c=1 d=1 t=22688
lao ke 	唠嗑	c=1 d=1 t=15782
lao lao shi shi 	老老实实	c=1 d=1 t=6585
lao ma 	老马	c=3 d=1 t=27265
lao mei 	老美	c=2 d=1 t=24911
lao po 	老婆	c=45 d=2.96524 t=28055
lao ren 	老人	c=1 d=1 t=6511
lao ren 	老任	c=1 d=1 t=18639
lao shi 	老师	c=14 d=1.00043 t=28416
lao shi kan dao 	老师看到	c=1 d=1 t=7089
lao wai 	老外	c=1 d=1 t=5014
lao wang 	老王	c=1 d=1 t=8335
le 	乐	c=1 d=1 t=3380
le ba 	了吧	c=1 d=1 t=21615
le yu 	乐于	c=1 d=1 t=5869
lei 	勒	c=1 d=1 t=8412
lei 	嘞	c=2 d=1.00019 t=25106
lei 	泪	c=1 d=1 t=18342
lei 	类	c=9 d=1 t=25851
lei 	累	c=1 d=1 t=27557
lei 	蕾	c=2 d=1 t=26764
lei 	雷	c=3 d=1 t=24821
lei da 	雷达	c=1 d=1 t=26520
lei dian 	雷电	c=1 d=1 t=9524
lei si 	类似	c=8 d=1 t=28395
lei xing 	类型	c=3 d=2.9362 t=3286
leng 	冷	c=11 d=1 t=24423
leng dong 	冷冻	c=6 d=1.8708 t=27876
leng dong ji fang 	冷冻机房	c=1 d=1 t=7457
leng feng 	冷风	c=1 d=1 t=21152
leng ji 	冷机	c=8 d=2.06481 t=26998
leng ku 	冷库	c=3 d=1 t=16303
leng ning 	冷凝	c=2 d=1.82696 t=2235
leng ning qi 	冷凝器	c=2 d=1.00151 t=4120
leng ning shui 	冷凝水	c=6 d=2.60931 t=27980
leng nuan 	冷暖	c=2 d=1.72979 t=15812
leng que 	冷却	c=3 d=1.00383 t=7173
leng que shui 	冷却水	c=3 d=2.57609 t=2851
leng que ta 	冷却塔	c=11 d=2.74098 t=22291
leng re 	冷热	c=3 d=2.04666 t=24557
leng re liang 	冷热量	c=1 d=1 t=12410
leng re shui 	冷热水	c=1 d=1 t=24313
leng re yuan 	冷热源	c=3 d=2.72138 t=2456
leng shui 	冷水	c=2 d=1.00013 t=21515
leng tian 	冷天	c=1 d=1 t=15780
li 	力	c=1 d=1 t=21758
li 	李	c=16 d=1 t=26620
li 	礼	c=1 d=1 t=25097
li 	离	c=1 d=1 t=8394
li 	里	c=78 d=1.67793 t=28186
li gong 	李工	c=1 d=1 t=19016
li guan 	立管	c=4 d=1 t=19450
li guo 	离过	c=1 d=1 t=14947
li hai 	厉害	c=8 d=1 t=24669
li hui 	例会	c=2 d=1.00001 t=7713
li jia 	离家	c=1 d=1 t=26526
li jie 	理解	c=9 d=1.99501 t=26518
li kai jia 	离开家	c=0 d=0.1 t=7087
li kun 	李琨	c=49 d=1.86508 t=28020
li lun 	理论	c=2 d=1 t=11494
li mian 	里面	c=47 d=1.11152 t=26792
li nian 	理念	c=1 d=1 t=24974
li qi 	李祈	c=2 d=1.91393 t=22192
li shi 	历史	c=3 d=1 t=27299
li shi 	立式	c=3 d=1.79852 t=17292
li shu 	黎叔	c=14 d=1 t=28279
li shu ji 	李书记	c=1 d=1 t=5671
li tiao tiao 	李跳跳	c=1 d=1 t=9035
li wai 	例外	c=1 d=1 t=5262
li xiang 	立项	c=1 d=1 t=20431
li xiao ran 	李小冉	c=1 d=1 t=5845
li xin 	李昕	c=5 d=1.0001 t=12113
li xiu fang 	李秀芳	c=18 d=1.04505 t=27283
li yi 	利益	c=1 d=1 t=11629
li you 	理由	c=1 d=1 t=13161
li yu 	鲤鱼	c=1 d=1 t=5666
li zhi 	离职	c=1 d=1 t=9804
li zhu 	立柱	c=1 d=1 t=17295
lia 	俩	c=9 d=2.2882 t=22879
lian 	廉	c=1 d=1 t=25017
lian 	练	c=1 d=1 t=26253
lian 	连	c=6 d=1 t=20287
lian dong 	联动	c=1 d=1 t=16432
lian he 	联合	c=1 d=1 t=12611
lian jia 	链家	c=1 d=1 t=20383
lian jie 	连接	c=14 d=3.74011 t=27615
lian jie 	链接	c=3 d=1 t=4586
lian lang 	连廊	c=1 d=1 t=8704
lian qiao 	连桥	c=2 d=1.00006 t=16014
lian shi lu 	莲石路	c=2 d=1.90032 t=2306
lian suo 	连锁	c=4 d=1 t=27129
lian tong 	联通	c=1 d=1 t=6697
lian xi 	练习	c=1 d=1 t=21318
lian xi 	联系	c=41 d=2.41824 t=28434
lian xian 	连线	c=1 d=1 t=21493
lian xu 	连续	c=2 d=1 t=6810
liang 	两	c=2 d=1 t=14816
liang 	亮	c=1 d=1 t=8835
liang 	梁	c=13 d=1 t=28144
liang 	良	c=1 d=1 t=7012
liang 	量	c=29 d=0.166957 t=25788
liang bian 	两边	c=2 d=1.49907 t=23497
liang cai 	凉菜	c=1 d=1 t=6398
liang ce 	两侧	c=4 d=1.90059 t=18944
liang ge 	两个	c=33 d=2.33468 t=27053
liang guan 	两管	c=9 d=2.6948 t=24582
liang ju 	两句	c=1 d=1 t=12812
liang kuai 	凉快	c=1 d=1 t=5620
liang liang xiang 	亮亮相	c=1 d=1 t=25054
liang lun 	两轮	c=1 d=1 t=23246
liang pi 	凉皮	c=1 d=1 t=27103
liang pin lv 	良品率	c=2 d=1.97531 t=8360
liang shi 	粮食	c=1 d=1 t=12615
liang tai 	两台	c=1 d=1 t=25343
liang tian 	两天	c=7 d=1 t=26219
liang wei 	两位	c=4 d=1 t=10834
liao 	聊	c=1 d=1 t=15778
liao jie 	了解	c=7 d=1 t=27550
liao liao 	聊聊	c=2 d=1 t=16125
liao tian 	聊天	c=4 d=1.96561 t=28343
lie biao 	列表	c=3 d=1.98511 t=14809
lie ren 	猎人	c=1 d=1 t=22075
lin 	霖	c=1 d=1 t=25562
lin jin 	临近	c=1 d=1 t=6074
lin shi 	临时	c=1 d=1 t=17604
lin yu 	淋浴	c=1 d=1 t=8680
lin yu jian 	淋浴间	c=4 d=2.4166 t=21222
ling 	灵	c=3 d=1.19989 t=19458
ling dao 	领导	c=33 d=1.95003 t=25991
ling jian 	零件	c=1 d=1 t=14922
ling shou 	零售	c=1 d=1 t=7221
ling wai 	另外	c=23 d=1.49411 t=24560
ling xing 	另行	c=1 d=1 t=20980
ling yang 	领养	c=2 d=1.96561 t=21403
liu 	六	c=2 d=1.85214 t=11091
liu 	刘	c=37 d=1.00117 t=27420
liu 	流	c=1 d=1 t=15621
liu 	留	c=6 d=1.9802 t=23648
liu cheng 	流程	c=12 d=1 t=25938
liu chun 	刘春	c=1 d=1 t=11530
liu ci xin 	刘慈欣	c=2 d=1.46301 t=22222
liu da 	溜达	c=1 d=1 t=14160
liu fang 	刘芳	c=5 d=1.99728 t=26066
liu han 	流汗	c=1 d=1 t=28345
liu lang 	流浪	c=1 d=1 t=843
liu lang di qiu 	流浪地球	c=1 d=1 t=842
liu nuo 	刘诺	c=1 d=1 t=19375
liu wei 	刘伟	c=36 d=1.19428 t=27693
liu xi jun 	刘惜君	c=1 d=1 t=27421
liu xin 	刘昕	c=31 d=1.00938 t=27179
liu xin xin 	刘昕欣	c=9 d=1.00006 t=25710
liu yi zhuo 	刘一卓	c=1 d=1 t=18326
liu zhe 	留着	c=1 d=1 t=14534
long 	龙	c=4 d=1 t=17161
long duan 	垄断	c=2 d=1.86071 t=16975
long jing 	龙井	c=1 d=1 t=15238
lou 	搂	c=1 d=1 t=8488
lou 	漏	c=3 d=1 t=27941
lou ban 	楼板	c=1 d=1 t=21022
lou ceng 	楼层	c=1 d=1 t=9714
lou kong 	楼控	c=2 d=1.0319 t=20933
lou shui 	漏水	c=2 d=1.8825 t=2656
lou xia 	楼下	c=2 d=1 t=24056
lu 	录	c=1 d=1 t=1315
lu 	路	c=3 d=1 t=21756
lu 	鲁	c=1 d=1 t=11946
lu 	鹿	c=1 d=1 t=9074
lu guo 	路过	c=1 d=1 t=8664
lu jing 	路径	c=1 d=1 t=14804
lu kai 	陆凯	c=1 d=1 t=24848
lu mao 	撸猫	c=1 d=1 t=13643
lu mian 	路面	c=1 d=1 t=808
lu shang 	路上	c=3 d=1.20089 t=26868
lu xian 	路线	c=1 d=1 t=24651
lu you 	路由	c=3 d=1 t=23629
lu zi 	路子	c=1 d=1 t=22354
luan 	乱	c=1 d=1 t=8813
luan ma 	乱码	c=1 d=1 t=20116
lun 	轮	c=3 d=2.64876 t=8161
lun hua 	轮滑	c=2 d=1 t=26254
lun hua ke 	轮滑课	c=1 d=1 t=14310
lun zhe 	轮着	c=1 d=1 t=10007
lun zheng 	论证	c=1 d=1 t=23684
luo 	罗	c=1 d=1 t=14369
luo 	落	c=2 d=1 t=25755
luo di 	落地	c=1 d=1 t=17616
luo gan ji 	螺杆机	c=1 d=1 t=3325
luo ji 	逻辑	c=5 d=1 t=24913
luo tuo 	骆驼	c=1 d=1 t=6535
luo ya 	罗亚	c=2 d=1 t=15206
lv 	氯	c=1 d=1 t=26270
lv 	绿	c=1 d=1 t=17196
lv jian 	绿建	c=7 d=1.99005 t=8957
lv kou ban 	铝扣板	c=1 d=1 t=12258
lv se 	绿色	c=4 d=1.73345 t=25367
lv se kong jian 	绿色空间	c=0 d=0.1 t=7087
lv se kong jian da feng shou li kai jia fang da 	绿色空间大丰收离开家放大	c=1 d=1 t=7088
lv you 	旅游	c=1 d=1 t=2135
ma 	吗	c=104 d=1.4862 t=28290
ma 	妈	c=3 d=1.8311 t=12263
ma 	码	c=1 d=1 t=12232
ma 	马	c=1 d=1 t=12068
ma 	骂	c=1 d=1 t=526
ma dao 	马道	c=2 d=1 t=28157
ma fan 	麻烦	c=7 d=1 t=28183
ma jia 	马家	c=0 d=0.1 t=8660
ma jia bao 	马家堡	c=3 d=1 t=21400
ma jie 	骂街	c=1 d=1 t=28081
ma ke 	马克	c=1 d=1 t=3391
ma li 	马力	c=1 d=1 t=6033
ma ma 	妈妈	c=1 d=1 t=14423
ma ma lie lie 	骂骂咧咧	c=2 d=1.94649 t=28093
ma shang 	马上	c=2 d=1 t=14915
ma si 	骂死	c=1 d=1 t=20465
ma si ke 	马斯克	c=1 d=1 t=24646
ma tai 	马太	c=1 d=1 t=14219
ma tong 	马桶	c=1 d=1 t=27926
mai 	买	c=25 d=1.00002 t=26937
mai 	卖	c=6 d=1 t=27268
mai dang lao 	麦当劳	c=1 d=1 t=23566
man 	满	c=2 d=1.01553 t=27948
man chang 	漫长	c=1 d=1 t=28179
man hua 	漫画	c=1 d=1 t=24814
man man 	慢慢	c=2 d=1 t=22734
man man 	满满	c=1 d=1 t=24775
man ning 	满拧	c=1 d=1 t=4680
man zu 	满足	c=11 d=1.60676 t=27627
mang 	忙	c=5 d=1 t=23390
mang cai 	盲猜	c=1 d=1 t=9154
mao 	毛	c=4 d=1.00004 t=23421
mao 	猫	c=28 d=2.02853 t=21980
mao 	贸	c=1 d=1 t=4583
mao bing 	毛病	c=1 d=1 t=21684
mao dun 	矛盾	c=3 d=1.05727 t=24734
mao liang 	猫粮	c=5 d=1.05931 t=21956
mao mao 	猫猫	c=2 d=1.8781 t=21954
mao sha 	猫砂	c=3 d=2.04867 t=21958
mao si 	貌似	c=1 d=1 t=4564
mao zi 	帽子	c=1 d=1 t=17197
mao zi 	毛子	c=1 d=1 t=23552
me 	么	c=6 d=1.8025 t=27055
mei 	妹	c=1 d=1 t=13406
mei 	每	c=1 d=1 t=1802
mei 	没	c=248 d=2.9076 t=28422
mei 	镁	c=1 d=1 t=22538
mei ceng 	每层	c=7 d=1 t=9981
mei ci 	每次	c=3 d=1 t=20581
mei cuo 	没错	c=2 d=1 t=6993
mei de 	美的	c=2 d=1 t=24914
mei fa 	没法	c=23 d=1.00004 t=27350
mei gai 	没改	c=1 d=1 t=3404
mei ge 	每个	c=1 d=1 t=3750
mei ge 	每隔	c=1 d=1 t=16419
mei gu 	美股	c=2 d=1.95123 t=17094
mei guo 	美国	c=3 d=1 t=21772
mei jin 	没劲	c=1 d=1 t=10064
mei kong 	没空	c=1 d=1 t=14286
mei mei 	妹妹	c=1 d=1 t=7513
mei nian 	每年	c=3 d=1 t=23988
mei qian 	没钱	c=1 d=1 t=13287
mei ren 	没人	c=4 d=1 t=28381
mei sha 	没啥	c=1 d=1 t=3691
mei shi 	没事	c=7 d=1.00002 t=26215
mei shuo 	没说	c=1 d=1 t=7335
mei te nie 	梅特涅	c=5 d=1.99501 t=26008
mei tian 	每天	c=1 d=1 t=14941
mei xi 	没戏	c=1 d=1 t=15683
mei yong 	没用	c=5 d=1 t=28235
mei you 	没有	c=91 d=2.28035 t=28299
mei zhou san 	每周三	c=1 d=1 t=24900
mei zhun 	没准	c=1 d=1 t=24627
mei zi 	妹子	c=6 d=1.57473 t=13519
men 	们	c=1 d=1 t=19264
men 	门	c=17 d=1.00811 t=27213
men 	闷	c=1 d=1 t=5660
men dou 	门斗	c=2 d=1.9802 t=5403
men kan 	门槛	c=1 d=1 t=15917
men kou 	门口	c=3 d=1 t=12087
men zi 	焖子	c=1 d=1 t=14066
meng 	孟	c=2 d=1.99501 t=5993
meng 	梦	c=1 d=1 t=8788
meng 	猛	c=2 d=1.86936 t=8826
meng lu si te 	孟鲁司特	c=1 d=1 t=14758
mi 	米	c=3 d=1 t=23689
mi du 	密度	c=1 d=1 t=19748
mi feng 	密封	c=3 d=1.18225 t=16393
mi gao 	米糕	c=1 d=1 t=22701
mi ma 	密码	c=7 d=5.99684 t=6518
mi mi 	秘密	c=1 d=1 t=13192
mian 	面	c=2 d=1 t=27210
mian ban 	面板	c=4 d=1.99005 t=15486
mian bao 	面包	c=1 d=1 t=16774
mian fei 	免费	c=3 d=2.73558 t=18146
mian ji 	面积	c=11 d=1.9802 t=27595
mian ke 	面客	c=1 d=1 t=27954
mian tan 	面谈	c=2 d=1.05558 t=23900
miao shu 	描述	c=1 d=1 t=7091
miao zhen 	秒针	c=1 d=1 t=27577
miao zhong 	秒钟	c=2 d=1.98511 t=27422
mie 	灭	c=1 d=1 t=16207
mie huo 	灭火	c=3 d=1.90032 t=14678
mie huo dan 	灭火弹	c=1 d=1 t=26760
min ying 	民营	c=1 d=1 t=24644
min yong 	民用	c=1 d=1 t=24352
ming 	名	c=1 d=1 t=7769
ming 	明	c=5 d=1.00008 t=21695
ming bai 	明白	c=19 d=1.00049 t=28035
ming chao 	明朝	c=1 d=1 t=24252
ming chao de 	明朝的	c=0 d=0.1 t=16219
ming chao de dian 	明朝的点	c=1 d=1 t=16220
ming cheng 	名称	c=9 d=1.0001 t=27155
ming dang 	明挡	c=1 d=1 t=21138
ming hou 	明后	c=1 d=1 t=10489
ming ling hang 	命令行	c=1 d=1 t=14354
ming ming 	命名	c=6 d=5.50196 t=1213
ming que 	明确	c=13 d=1.52378 t=27817
ming tian 	明天	c=45 d=1.93683 t=27247
ming xian 	明显	c=3 d=1 t=25923
ming zi 	名字	c=4 d=1 t=24640
mo 	抹	c=1 d=1 t=16351
mo 	默	c=1 d=1 t=2760
mo ban 	模板	c=1 d=1 t=26202
mo ca 	摩擦	c=1 d=1 t=16322
mo duan 	末端	c=7 d=1.78339 t=11005
mo ni 	模拟	c=10 d=2.16304 t=14671
mo sheng 	陌生	c=1 d=1 t=22774
mo shi 	模式	c=1 d=1 t=21632
mo xing 	模型	c=50 d=1.02712 t=23022
mo xun 	沫洵	c=2 d=1.00003 t=25736
mo yan 	莫言	c=1 d=1 t=19195
mo yu 	摸鱼	c=1 d=1 t=14298
mou ge 	某个	c=1 d=1 t=1205
mu 	木	c=1 d=1 t=22837
mu 	目	c=1 d=1 t=21786
mu biao 	目标	c=6 d=1 t=13302
mu di ban 	木地板	c=1 d=1 t=22842
mu lu 	目录	c=4 d=1.72979 t=25373
mu mao 	母猫	c=2 d=1.90484 t=13531
mu qian 	目前	c=37 d=1.18275 t=26409
mu qiang 	幕墙	c=20 d=1.43476 t=23308
na 	哪	c=43 d=1.32658 t=28158
na 	拿	c=7 d=1 t=27942
na 	那	c=106 d=1.62739 t=28377
na ge 	哪个	c=5 d=1 t=24498
na ge 	那个	c=1 d=1 t=25173
na hui 	那会	c=6 d=1.42956 t=26826
na jia 	那家	c=1 d=1 t=23225
na me 	那么	c=12 d=1.15335 t=22780
na men 	纳闷	c=2 d=1.06995 t=16793
na nie 	拿捏	c=1 d=1 t=22744
na pa 	哪怕	c=1 d=1 t=3810
na shi 	那是	c=3 d=1 t=25139
na tian 	哪天	c=3 d=1 t=19586
na yang 	那样	c=2 d=1.77492 t=15740
na zhong 	那种	c=1 d=1 t=17287
nai 	奶	c=1 d=1 t=13481
nai 	耐	c=2 d=1 t=6712
nai huo 	耐火	c=4 d=1.61116 t=27628
nai nai 	奶奶	c=1 d=1 t=2160
nan 	南	c=3 d=1.00003 t=20044
nan 	男	c=2 d=1.99501 t=25927
nan 	难	c=2 d=1 t=24964
nan bei 	南北	c=4 d=1.02548 t=13745
nan bian 	南边	c=1 d=1 t=25167
nan ce 	南侧	c=2 d=1 t=15282
nan chan 	难产	c=1 d=1 t=23243
nan de 	男的	c=1 d=1 t=5864
nan du 	难度	c=2 d=1 t=27608
nan fang 	南方	c=3 d=1.97412 t=17953
nan guai 	难怪	c=3 d=1 t=14203
nan kan 	难看	c=2 d=1 t=20453
nan lu 	南路	c=0 d=0.1 t=26246
nan nan 	男男	c=1 d=1 t=25942
nan ren 	男人	c=1 d=1 t=27964
nan shuo 	难说	c=1 d=1 t=12627
nan xing 	男性	c=1 d=1 t=17198
nao 	脑	c=1 d=1 t=16175
nao 	闹	c=5 d=1 t=26210
nao zhong 	闹钟	c=1 d=1 t=13710
nao zi 	脑子	c=1 d=1 t=27116
ne 	呢	c=103 d=2.20176 t=28240
nei 	内	c=37 d=1.05642 t=23183
nei bu 	内部	c=22 d=1.02136 t=28131
nei ce 	内侧	c=1 d=1 t=13758
nei cun 	内存	c=2 d=1.00054 t=3303
nei han 	内涵	c=1 d=1 t=18186
nei ji 	内机	c=1 d=1 t=21269
nei meng 	内蒙	c=5 d=1 t=20760
nei qu 	内区	c=1 d=1 t=15449
nei rong 	内容	c=21 d=1.06182 t=25936
nei yi 	内衣	c=1 d=1 t=14439
nen 	嫩	c=1 d=1 t=13309
neng 	能	c=99 d=5.17047 t=28334
neng bu 	能不	c=1 d=1 t=4111
neng bu neng 	能不能	c=3 d=1.01814 t=24657
neng gou 	能够	c=1 d=1 t=314
neng li 	能力	c=3 d=1.97045 t=15821
neng liang 	能量	c=4 d=1.93239 t=21521
neng ting 	能听	c=1 d=1 t=26499
ni 	你	c=279 d=2.17822 t=28207
ni de 	你的	c=1 d=1 t=13048
ni hao 	你好	c=4 d=2.57486 t=14788
nian 	年	c=30 d=1 t=27880
nian 	念	c=1 d=1 t=9469
nian 	黏	c=2 d=1 t=22000
nian di 	年底	c=2 d=1 t=25035
nian duo 	年多	c=1 d=1 t=25124
nian hui 	年会	c=1 d=1 t=17121
nian qian 	年前	c=2 d=1 t=28227
nian qing 	年轻	c=1 d=1 t=9335
nian ren 	黏人	c=1 d=1 t=21994
nian tie 	黏贴	c=1 d=1 t=16073
nian zhong 	年终	c=1 d=1 t=11248
niang lia 	娘俩	c=3 d=1 t=24063
nie 	聂	c=4 d=3.64391 t=11476
nin 	您	c=68 d=1.33834 t=28368
ning jie shui 	凝结水	c=1 d=1 t=20478
ning jing 	宁静	c=1 d=1 t=28433
niu 	牛	c=3 d=1 t=27788
niu bi 	牛逼	c=2 d=1.01278 t=9283
niu pi 	牛皮	c=1 d=1 t=11250
niu rou 	牛肉	c=1 d=1 t=26578
nong 	弄	c=6 d=1.00664 t=27778
nong du 	浓度	c=1 d=1 t=19732
nuan qi 	暖气	c=6 d=1 t=27167
nuan tong 	暖通	c=86 d=1.79751 t=28161
nuo 	挪	c=4 d=1 t=22386
nuo la 	诺拉	c=2 d=1.91393 t=23177
nv 	女	c=3 d=1 t=22551
nv ren 	女人	c=3 d=1 t=21091
nv shi 	女士	c=2 d=1 t=27851
o 	哦	c=16 d=1.00222 t=28194
o 	噢	c=3 d=1.06565 t=9589
o du shu 	哦读书	c=1 d=1 t=17261
o o 	哦哦	c=9 d=1 t=28094
o zong 	哦总	c=1 d=1 t=15848
ou 	欧	c=1 d=1 t=24822
ou er 	偶尔	c=1 d=1 t=15020
pa 	帕	c=1 d=1 t=21768
pa 	怕	c=7 d=1.05366 t=26546
pa shan 	爬山	c=1 d=1 t=24905
pai 	拍	c=2 d=1 t=9823
pai 	排	c=4 d=1 t=27513
pai 	派	c=1 d=1 t=25558
pai chan 	排产	c=3 d=1 t=28201
pai dui 	排队	c=1 d=1 t=15167
pai feng 	排风	c=21 d=1.00002 t=27525
pai feng ji 	排风机	c=4 d=1.96561 t=25842
pai qi 	排气	c=1 d=1 t=361
